Areaname,STCOU,AGE775209F,AGE775209D,AGE775209N1,AGE775209N2,AGE780190F,AGE780190D,AGE780190N1,AGE780190N2,AGE780200F,AGE780200D,AGE780200N1,AGE780200N2,AGE790200F,AGE790200D,AGE790200N1,AGE790200N2,AGE800200F,AGE800200D,AGE800200N1,AGE800200N2,AGE800201F,AGE800201D,AGE800201N1,AGE800201N2,AGE800202F,AGE800202D,AGE800202N1,AGE800202N2,AGE800203F,AGE800203D,AGE800203N1,AGE800203N2,AGE800204F,AGE800204D,AGE800204N1,AGE800204N2,AGE800205F,AGE800205D,AGE800205N1,AGE800205N2
UNITED STATES,00000,0,12.9,0000,0000,0,7994823,0000,0000,0,8857441,0000,0000,0,8857533,0000,0000,0,8858129,0000,0000,0,8813908,0000,0000,0,8734100,0000,0000,0,8644599,0000,0000,0,8556605,0000,0000,0,8549024,0000,0000
ALABAMA,01000,0,13.8,0000,0000,0,132909,0000,0000,0,148780,0000,0000,0,148793,0000,0000,0,148799,0000,0000,0,148800,0000,0000,0,147742,0000,0000,0,146751,0000,0000,0,146213,0000,0000,0,147569,0000,0000
"Autauga, AL",01001,0,11.6,0000,0000,0,852,0000,0000,0,1144,0000,0000,0,1144,0000,0000,0,1151,0000,0000,0,1237,0000,0000,0,1243,0000,0000,0,1281,0000,0000,0,1312,0000,0000,0,1385,0000,0000
"Baldwin, AL",01003,0,17,0000,0000,0,3865,0000,0000,0,5733,0000,0000,0,5733,0000,0000,0,5772,0000,0000,0,5966,0000,0000,0,6086,0000,0000,0,6191,0000,0000,0,6372,0000,0000,0,6740,0000,0000
"Barbour, AL",01005,0,13.8,0000,0000,0,950,0000,0000,0,977,0000,0000,0,977,0000,0000,0,974,0000,0000,0,984,0000,0000,0,978,0000,0000,0,948,0000,0000,0,905,0000,0000,0,920,0000,0000
"Bibb, AL",01007,0,13.5,0000,0000,0,469,0000,0000,0,630,0000,0000,0,630,0000,0000,0,630,0000,0000,0,629,0000,0000,0,618,0000,0000,0,634,0000,0000,0,632,0000,0000,0,606,0000,0000
"Blount, AL",01009,0,14.7,0000,0000,0,1336,0000,0000,0,1730,0000,0000,0,1730,0000,0000,0,1733,0000,0000,0,1734,0000,0000,0,1764,0000,0000,0,1809,0000,0000,0,1855,0000,0000,0,1854,0000,0000
"Bullock, AL",01011,0,10.8,0000,0000,0,479,0000,0000,0,312,0000,0000,0,311,0000,0000,0,311,0000,0000,0,316,0000,0000,0,307,0000,0000,0,307,0000,0000,0,298,0000,0000,0,292,0000,0000
"Butler, AL",01013,0,16.2,0000,0000,0,949,0000,0000,0,851,0000,0000,0,851,0000,0000,0,847,0000,0000,0,830,0000,0000,0,788,0000,0000,0,792,0000,0000,0,779,0000,0000,0,764,0000,0000
"Calhoun, AL",01015,0,15,0000,0000,0,3762,0000,0000,0,4183,0000,0000,0,4183,0000,0000,0,4181,0000,0000,0,4185,0000,0000,0,4225,0000,0000,0,4132,0000,0000,0,4087,0000,0000,0,4098,0000,0000
"Chambers, AL",01017,0,16.8,0000,0000,0,1630,0000,0000,0,1397,0000,0000,0,1400,0000,0000,0,1393,0000,0000,0,1366,0000,0000,0,1346,0000,0000,0,1302,0000,0000,0,1323,0000,0000,0,1330,0000,0000
"Cherokee, AL",01019,0,18.6,0000,0000,0,781,0000,0000,0,996,0000,0000,0,996,0000,0000,0,998,0000,0000,0,1022,0000,0000,0,995,0000,0000,0,996,0000,0000,0,1012,0000,0000,0,1060,0000,0000
"Chilton, AL",01021,0,13.4,0000,0000,0,1141,0000,0000,0,1270,0000,0000,0,1270,0000,0000,0,1268,0000,0000,0,1236,0000,0000,0,1291,0000,0000,0,1332,0000,0000,0,1335,0000,0000,0,1349,0000,0000
"Choctaw, AL",01023,0,17.5,0000,0000,0,488,0000,0000,0,590,0000,0000,0,590,0000,0000,0,589,0000,0000,0,588,0000,0000,0,562,0000,0000,0,559,0000,0000,0,546,0000,0000,0,558,0000,0000
